,Year,AC_No,AC_Name,AC_Type,Cand1,Sex1,Party1,Turnout
12689,2007,173,JALALPORE,GEN,R. C. PATEL,M,BJP,62.23
12696,2007,174,NAVSARI,ST,PATEL MANGUBHAI CHHAGANBHAI,M,BJP,64.48
12700,2007,175,GANDEVI,GEN,PATEL LAXMANBHAI PARSOTTAMBHAI,M,BJP,63.1
12703,2007,176,CHIKHLI,ST,PATEL NARESHBHAI MAGANBHAI,M,BJP,68.95
12707,2007,177,DANGS-BANSDA,ST,PATEL VIJAYBHAI RAMESHBHAI,M,BJP,58.87
12712,2007,178,BULSAR,GEN,DESAI DOLATRAI NATHUBHAI,M,BJP,59.64
12717,2007,179,DHARAMPUR,ST,CHAUDHARI CHHANABHAI KOLUBHAI,M,INC,66.99
12722,2007,180,MOTA PONDHA,ST,CHAUDHARY JITUBHAI HIRJIBHAI,M,INC,70.67
12728,2007,181,PARDI,ST,PATEL USHABEN GIRISHKUMAR,F,BJP,61.74
12732,2007,182,UMBERGAON,ST,RAMANLAL NANUBHAI PATKAR,M,BJP,53.66
12744,2012,1,ABDASA,GEN,CHHABILBHAI NARANBHAI PATEL,M,INC,99.96
12750,2012,2,MANDVI,GEN,CHHEDA TARACHAND JAGSHIBHAI,M,BJP,99.88
12761,2012,3,BHUJ,GEN,DR. NIMABEN AACHARYA,F,BJP,99.96
12771,2012,4,ANJAR,GEN,AHIR VASANBHAI GOPALBHAI,M,BJP,99.89
12779,2012,5,GANDHIDHAM,SC,MAHESHWARI RAMESH VACHCHHRAJ,M,BJP,99.98
12786,2012,6,RAPAR,GEN,VAGHAJIBHAI DHARAMSHIBHAI PATEL,M,BJP,99.98
12797,2012,7,VAV,GEN,SHANKARBHAI LAGDHIRBHAI PATEL (CHAUDHARY),M,BJP,99.93
12804,2012,8,THARAD,GEN,PARABATBHAI SAVABHAI PATEL,M,BJP,100
12809,2012,9,DHANERA,GEN,JOITABHAI KASNABHAI PATEL,M,INC,99.96
12818,2012,10,DANTA,ST,KHARADI KANTIBHAI KALABHAI,M,INC,99.93
12822,2012,11,VADGAM,SC,MANILAL JETHABHAI VAGHELA,M,INC,100
12837,2012,12,PALANPUR,GEN,MAHESHKUMAR AMRUTLAL PATEL,M,INC,99.93
12845,2012,13,DEESA,GEN,VAGHELA LILADHARBHAI KHODAJI,M,BJP,99.98
12858,2012,14,DEODAR,GEN,CHAUHAN KESHAJI SHIVAJI,M,BJP,99.97
12865,2012,15,KANKREJ,GEN,KHANPURA DHARSHIBHAI LAKHABHAI,M,INC,99.89
12877,2012,16,RADHANPUR,GEN,THAKOR NAGARJI HARCHANDJI,M,BJP,99.98
12883,2012,17,CHANASMA,GEN,DILIPKUMAR VIRAJIBHAI THAKOR,M,BJP,99.97
12901,2012,18,PATAN,GEN,DESAI RANCHHOD MAHIJIBHAI (RANCHHOD RABARI VAKIL),M,BJP,99.81
12905,2012,19,SIDHPUR,GEN,BALVANTSINH CHANDANSINH RAJPUT,M,INC,99.96
12918,2012,20,KHERALU,GEN,DHABHI BHARATSIGHJI SANKARJI,M,BJP,99.88
12926,2012,21,UNJHA,GEN,NARAYANBHAI LALLUDAS PATEL,M,BJP,99.89
12934,2012,22,VISNAGAR,GEN,RUSHIKESH GANESHBHAI PATEL,M,BJP,99.88
12942,2012,23,BECHARAJI,GEN,RAJANIKANT SOMABHAI PATEL,M,BJP,99.84
12952,2012,24,KADI,SC,CHAVADA RAMESHBHAI MAGANBHAI,M,INC,99.94
12956,2012,25,MEHSANA,GEN,NITINKUMAR RATILAL PATEL,M,BJP,99.97
12969,2012,26,VIJAPUR,GEN,PRAHLADBHAI ISHWARBHAI PATEL,M,INC,99.9
12985,2012,27,HIMATNAGAR,GEN,CHAVDA RAJENDRASINH RANJITSINH (RAJUBHAI CHAVDA),M,INC,99.85
12996,2012,28,IDAR,SC,RAMANLAL ISHVARLAL VORA,M,BJP,99.8
13003,2012,29,KHEDBRAHMA,ST,ASHWIN KOTVAL,M,INC,99.88
13014,2012,30,BHILODA,ST,ANIL JOSHIYARA,M,INC,99.57
13022,2012,31,MODASA,GEN,THAKOR RAJENDRASINH SHIVSINH,M,INC,99.53
13030,2012,32,BAYAD,GEN,VAGHELA MAHENDRASINH SHANKARSINH,M,INC,99.77
13035,2012,33,PRANTIJ,GEN,BARAIYA MAHENDRASINH KACHARSINH ( ADVOCATE ),M,INC,99.9
13044,2012,34,DEHGAM,GEN,RATHOD KAMINIBA BHUPENDRASINH,F,INC,99.88
13051,2012,35,GANDHINAGAR SOUTH,GEN,THAKOR SHAMBHUJI CHELAJI,M,BJP,99.97
13059,2012,36,GANDHINAGAR NORTH,GEN,ASHOKKUMAR RANCHHODBHAI PATEL,M,BJP,99.74
13066,2012,37,MANSA,GEN,CHAUDHARI AMITBHAI HARISINGBHAI,M,INC,99.93
13072,2012,38,KALOL-I,GEN,THAKOR BALDEVJI CHANDUJI,M,INC,99.96
13087,2012,39,VIRAMGAM,GEN,TEJASHREEBEN DILIPKUMAR PATEL,F,INC,99.93
13092,2012,40,SANAND,GEN,KARAMSIBHAI VIRJIBHAI PATEL,M,INC,99.92
13099,2012,41,GHATLODIA,GEN,ANANDIBEN MAFATBHAI PATEL,F,BJP,99.86
13113,2012,42,VEJALPUR,GEN,CHAUHAN KISHORSINH BABULAL (KISHOR CHAUHAN),M,BJP,99.91
13121,2012,43,VATVA,GEN,PRADIPSINH BHAGWATSINH JADEJA,M,BJP,100
13140,2012,44,ELLIS BRIDGE,GEN,SHRI RAKESH SHAH,M,BJP,99.91
13145,2012,45,NARANPURA,GEN,AMITBHAI ANILCHANDRA SHAH (AMIT SHAH),M,BJP,99.91
13153,2012,46,NIKOL,GEN,PANCHAL JAGDISH ISHWARBHAI,M,BJP,100
13171,2012,47,NARODA,GEN,WADHWANI NIRMALABEN SUNILBHAI,F,BJP,99.98
13175,2012,48,THAKKARBAPA NAGAR,GEN,KAKADIYA VALLABHBHAI GOBARBHAI (VALLABHBHAI HIRAWALA),M,BJP,99.89
13186,2012,49,BAPUNAGAR,GEN,RAJPUT JAGRUPSINH GIRDANSINH,M,BJP,99.9
13200,2012,50,AMRAIWADI,GEN,HASMUKHBHAI SOMABHAI PATEL,M,BJP,99.92
13215,2012,51,DARIAPUR,GEN,GYASUDDIN HABIBUDDIN SHEKH,M,INC,99.88
13226,2012,52,JAMALPUR,GEN,BHATT BHUSHAN ASHOK,M,BJP,99.98
13234,2012,53,MANINAGAR,GEN,NARENDRA MODI,M,BJP,99.93
13249,2012,54,DANILIMDA,SC,SHAILESH MANUBHAI PARMAR,M,INC,99.94
13251,2012,55,SABARMATI,GEN,ARVINDKUMAR GANDALAL PATEL (ARVIND DALAL),M,BJP,99.88
13257,2012,56,ASARWA,SC,RAJANIKANT MOHANLAL PATEL (R.M. PATEL),M,BJP,99.92
13270,2012,57,DASKROI,GEN,BABUBHAI JAMNADAS PATEL,M,BJP,99.93
13275,2012,58,DHOLKA,GEN,CHUDASAMA BHUPENDRASINH MANUBHA,M,BJP,99.85
13288,2012,59,DHANDHUKA,GEN,LALJIBHAI CHATURBHAI KOLIPATEL,M,BJP,99.91
13293,2012,60,DASADA,SC,MAKWANA PUNAMBHAI KALABHAI,M,BJP,99.84
13310,2012,61,LIMBDI,GEN,SOMABHAI GANDALAL KOLIPATEL,M,INC,99.99
13319,2012,62,WADHWAN,GEN,DOSHI VARSHABEN NARENDRABHAI,F,BJP,99.99
13330,2012,63,CHOTILA,GEN,SHAMJIBHAI BHIMJIBHAI CHAUHAN,M,BJP,99.99
13332,2012,64,DHRANGADHRA,GEN,KAVADIA JAYANTIBHAI RAMJIBHAI,M,BJP,100
13347,2012,65,MORVI,GEN,AMRUTIYA KANTILAL SHIVABHAI,M,BJP,99.99
13355,2012,66,TANKARA,GEN,KUNDARIYA MOHANBHAI KALYANJIBHAI,M,BJP,99.87
13368,2012,67,WANKANER,GEN,PEERZADA MAHMAD JAVID ABDUL MUTLEEB,M,INC,99.56
13376,2012,68,RAJKOT EAST,GEN,RAJGURU INDRANIL SANJAYBHAI,M,INC,99.98
13384,2012,69,RAJKOT WEST,GEN,VAJUBHAI RUDABHAI VALA,M,BJP,99.95
